"original_name"	"broad_type"
"colon epithelial"	"epithelial cell"
"club_cell"	"epithelial cell"
"cancer_cell"	"malignant cell"
"plasma cell"	"B cell"
"pancreatic ductal adenocarcinoma cell"	"malignant cell"
"erythroid"	"erythroid cell"
"proliferating epithelial"	"epithelial cell"
"smooth muscle"	"muscle cell"
"retinal ganglion cell"	"neuronal cell"
"skeletal muscle"	"muscle cell"
"mitochondrial ribosome"	"organelle"
"extracellular matrix"	"extracellular component"
"naive cd4 t cells"	"t/nk cell"
"effector memory cd8 t cells"	"t/nk cell"
"goblet cell"	"epithelial cell"
"enterochromaffin cell"	"epithelial cell"
"intestinal stem cell"	"stem cell"
"biliary epithelial cells"	"epithelial cell"
"red blood cell lineage"	"blood cell"
"osteoblasts"	"bone cell"
"b-cell"	"B cell"
"nk-cell"	"t/nk cell"
"t lymphocyte"	"t/nk cell"
"marginal zone b cell"	"B cell"
"perivascular cell"	"connective tissue cell"
"renal proximal tubule cell"	"epithelial cell"
"marginal zone b cell"	"B cell"
"pancreatic endocrine cell"	"endocrine cell"
"enterochromaffin-like cell"	"endocrine cell"
"secretory luminal cells"	"epithelial cell"
"transit amplifying cells"	"progenitor cell"
"erythroid progenitors"	"erythroid cell"
"naive t cells"	"t/nk cell"
"neuronal cells"	"neuronal cell"
"prostatic acinar cell"	"epithelial cell"
"salivary epithelial"	"epithelial cell"
"t lymphocyte"	"t/nk cell"
"extracellular matrix"	"extracellular matrix"
"proliferating epithelial cells"	"epithelial cell"
"secretory epithelial cells"	"epithelial cell"
"antigen_presenting_cell"	"immune cell"
"regulatory_t_cell"	"t/nk cell"
"secretory_cell"	"epithelial cell"
"helper_t_cell"	"t/nk cell"
"gamma delta t cells"	"t/nk cell"
"enterocytes"	"epithelial cell"
"macrophages"	"myeloid cell"
"proliferating cells"	"progenitor cell"
"goblet cells"	"epithelial cell"
"cytotoxic t cells"	"t/nk cell"
"t helper cells"	"t/nk cell"
"regulatory t cells"	"t/nk cell"
"cd8+ t cells"	"t/nk cell"
"lymphoid cell"	"lymphoid cell"
"erythroid progenitor cell"	"erythroid cell"
"collagen-producing cell"	"stromal cell"
"myelin-producing cell"	"glial cell"
"acinarcell"	"epithelial cell"
"endothelialcell"	"endothelial cell"
"neuronprogenitorcell"	"progenitor cell"
"pancreaticductalepithelialcell"	"epithelial cell"
"neuroendocrinecell"	"neuroendocrine cell"
"secretorycell"	"secretory cell"
"betacell"	"endocrine cell"
"fetal fibroblast"	"stromal cell"
"neural progenitor cell"	"progenitor cell"
"mesenchymal cell"	"mesenchymal cell"
"erythroid precursor"	"erythroid cell"
"yolk sac endothelial cells"	"endothelial cell"
"mesenchymal cells"	"mesenchymal cell"
"oligodendrocytes"	"glial cell"
"fetal hepatocyte"	"epithelial cell"
"clara cell"	"epithelial cell"
"ciliated airway epithelial cell"	"epithelial cell"
"fetal osteoblast"	"mesenchymal cell"
"lens fiber cell"	"epithelial cell"
"granulosa cell"	"stromal cell"
"keratinocytes"	"epithelial cell"
"neutrophils"	"myeloid cell"
"antigen-presenting cells"	"immune cell"
"mast cells"	"immune cell"
"alveolar type ii cells"	"epithelial cell"
"hematopoietic stem cells"	"hematopoietic cell"
"kinetochores"	"other"
"mesangial cell"	"mesangial cell"
"secretory cell"	"epithelial cell"
"myeloid"	"myeloid cell"
"granzyme a containing cell"	"t/nk cell"
"alveolartypeii pneumocyte"	"epithelial cell"
"naivetcell"	"t/nk cell"
"cartilagecell"	"connective tissue cell"
"surfactantsecretioncell"	"epithelial cell"
"plasmacell"	"B cell"
"basalcell"	"epithelial cell"
"epithelialcell"	"epithelial cell"
"bcell"	"B cell"
"smoothmusclecell"	"muscle cell"
"mesenchymalstemcell"	"stem cell"
"endothelial-cell"	"endothelial cell"
"erythroid-cell"	"erythroid cell"
"mesenchymal-cell"	"connective tissue cell"
"natural-killer-cell"	"t/nk cell"
"smooth-muscle-cell"	"muscle cell"
"antigen presenting cells"	"myeloid cell"
"myeloid dendritic cells"	"myeloid cell"
"erythroid cells"	"erythroid cell"
"kupffer cells"	"immune cell"
"tcell"	"t/nk cell"
"mesenchymal"	"mesenchymal cell"
"immunecell"	"immune cell"
"ribosome"	"organelle"
"hematopoietic"	"hematopoietic cell"
"ribosome protein cell"	"cell"
"ribosome protein"	"organelle"
"spermatogonia"	"germ cell"
"histocyte"	"immune cell"
"steroidogenic cell"	"steroidogenic cell"
"lysosome"	"organelle"
"osteoclast precursor"	"hematopoietic cell"
"parathyroid chief cell"	"endocrine cell"
"islet cell"	"endocrine cell"
"myoepithelial cell"	"epithelial cell"
"luminal epithelial cell"	"epithelial cell"
"stromal cell"	"mesenchymal cell"
"esophageal mucosa cells"	"epithelial cell"
"stratified squamous epithelial cells"	"epithelial cell"
"myocytes"	"muscle cell"
"acinar cell"	"epithelial cell"
"cholangiocyte"	"epithelial cell"
"alveolar type ii cell"	"epithelial cell"
"type ii alveolar cell"	"epithelial cell"
"small airway epithelial cell"	"epithelial cell"
"ciliated cell"	"epithelial cell"
"prostaticstromalcells"	"stromal cell"
"basalprostaticcells"	"epithelial cell"
"secretoryprostaticcells"	"epithelial cell"
"0.173341691493988"	"unknown"
"skeletal muscle cells"	"muscle cell"
"epidermal cell"	"epithelial cell"
"mammary epithelial cells"	"epithelial cell"
"collagen-producing cell"	"stromal cell"
"enteric neuronal progenitor cell"	"neuronal cell"
"cl:0002495"	"unknown"
"cardiacprogenitorcell"	"progenitor cell"
"tcell"	"t/nk cell"
"alveolar epithelial type i cell"	"epithelial cell"
"alveolar macrophage"	"myeloid cell"
"t helper cell"	"t/nk cell"
"secretory prostatic adenacrine epithelial cell"	"epithelial cell"
"perivascular endothelial cell"	"endothelial cell"
"enteroendocrine"	"epithelial cell"
"collagen-producing fibroblast"	"stromal cell"
"serum-protein-producing mast cell"	"myeloid cell"
"osteoblast-like cell"	"stromal cell"
"urothelial-cell"	"epithelial cell"
"matrix-cell"	"stromal cell"
"epithelial-cell"	"epithelial cell"
"plasma-cell"	"B cell"
"lymphocyte"	"lymphocyte"
"reticulocyte"	"erythroid cell"
"naturalkillercell"	"t/nk cell"
"bcell"	"B cell"
"myeloidcell"	"myeloid cell"
"stemcell"	"stem cell"
"othercelltype"	"other cell type"
"corneal epithelial cell"	"epithelial cell"
"photoreceptor cell"	"neuronal cell"
"vascular cell"	"vascular cell"
"retinal rod photoreceptor"	"neuronal cell"
"corneal basal cell"	"epithelial cell"
"smooth muscle_cell"	"muscle cell"
"ribosome_protein_encoding_cell"	"other"
"cardiac fibroblast"	"connective tissue cell"
"neural crest-derived cardiac progenitor cell"	"progenitor cell"
"panethcell"	"epithelial cell"
"gobletcell"	"epithelial cell"
"interstitialcell"	"connective tissue cell"
"plasma-cell"	"B cell"
"myocyte"	"muscle cell"
"antigen-presentingcell"	"immune cell"
"proliferatingcell"	"proliferating cell"
"endothelialcell"	"vascular cell"
"secretorycell"	"secretory cell"
"chromaffincell"	"endocrine cell"
"endocrinecell"	"endocrine cell"
"epithelialcell"	"epithelial cell"
"kupffer细胞"	"myeloid cell"
"枯否细胞"	"unknown"
"成纤维细胞"	"stromal cell"
"单核细胞"	"myeloid cell"
"自然杀伤细胞"	"t/nk cell"
"肌成纤维细胞"	"stromal cell"
"肝细胞"	"epithelial cell"
"胆管上皮细胞"	"epithelial cell"
"t细胞"	"t/nk cell"
"髓系细胞"	"myeloid cell"
"b细胞"	"B cell"
"角质形成细胞"	"epithelial cell"
"巨噬细胞"	"myeloid cell"
"alveolar_type_ii_cells"	"epithelial cell"
"monocytes"	"myeloid cell"
"naive_t_cells"	"t/nk cell"
"cytotoxic_t_cells"	"t/nk cell"
"natural_killer_cells"	"t/nk cell"
"pericytes"	"stromal cell"
"smooth muscle_cells"	"stromal cell"
"fibroblasts"	"stromal cell"
"dendritic_cells"	"myeloid cell"
"mast_cells"	"myeloid cell"
"endothelial_cells"	"endothelial cell"
"plasma_cells"	"B cell"
"b_cells"	"B cell"
"myeloid_cells"	"myeloid cell"
"naive_b_cells"	"B cell"
"alveolartypeiicells"	"epithelial cell"
"endothelialcells"	"endothelial cell"
"claracells"	"epithelial cell"
"perivascularcells"	"stromal cell"
"smoothmusclecells"	"stromal cell"
"surfactantsecretorycells"	"epithelial cell"
"unknowncells"	"unknown"
"cd8 t cells"	"T/NK cell"
"tregs"	"T/NK cell"
"mammary-gland-cell"	"epithelial cell"
"erythroidprecursor"	"erythroid cell"
"pancreatic ductal epithelial cell"	"epithelial cell"
"prostatic basal cells"	"epithelial cell"
"prostatic secretory cells"	"epithelial cell"
"erythroid precursor cells"	"erythroid cell"
"basophils"	"granulocyte"
"prostate stromal cells"	"stromal cell"
"prostate cancer cells"	"malignant cell"
"myoepithelialcell"	"epithelial cell"
"nkcell"	"t/nk cell"
"mesenchymalcell"	"stromal cell"
"proliferatingcell"	"proliferating cell"
"dermacell"	"epithelial cell"
"antigen-presenting cell"	"antigen-presenting cell"
"dendriticcell"	"antigen-presenting cell"
"regulatorytcell"	"t/nk cell"
"langerhans cells"	"antigen-presenting cell"
"mitotic enterocyte"	"epithelial cell"
"cd8 t lymphocyte"	"t/nk cell"
"not b cells"	"myeloid cell"
"myeloid progenitor"	"neuronal cell"
"motor cortexcells"	NA
"acinar"	"epithelial cell"
"basophilic"	"epithelial cell"
"connective tissue"	"connective tissue"
"endocrine"	"endocrine cell"
"pancreatic endocrine"	"endocrine cell"
"somatostatin"	"endocrine cell"
"bone morphogenetic protein"	"connective tissue"
"myoendothelial"	"connective tissue"
"adrenal gland"	"endocrine cell"
"neuroepithelial cell"	"epithelial cell"
"bronchial epithelial cell"	"epithelial cell"
"angiogenic factor"	"connective tissue"
"myocardial progenitor cell"	"muscle cell"
"osteoblast precursor"	"connective tissue"
"neuronal progenitor cell"	"neuronal cell"
"epithelial progenitor cell"	"epithelial cell"
"liver progenitor cell"	"epithelial cell"
"erythroid progenitor cell"	"erythroid cell"
"endothelial progenitor cell"	"endothelial cell"
"fetal fibroblast"	"connective tissue"
"neural plate border"	"neural cell"
"mesenchyme"	"mesenchymal cell"
"myocardium"	"muscle cell"
"pancreatic duct cells"	"epithelial cell"
"vascular endothelial cells"	"endothelial cell"
"neurogenic ectoderm"	"neural cell"
"sarcoplasmic reticulum"	"muscle cell"
"basement membrane"	"extracellular matrix"
"colostrinin"	"extracellular matrix"
"glycine receptor"	"protein"
"prostate-specific antigen"	"epithelial cell"
"basal lamina"	"extracellular matrix"
"inflammatory cells"	"immune cell"
"mesenchymal cells"	"mesenchymal cell"
"connective tissue cells"	"mesenchymal cell"
"bronchial cells"	"epithelial cell"
"blood cells"	"blood cell"
"neoplastic cells"	"malignant cell"
"neural cells"	"neural cell"
"serum proteins"	"protein"
"receptor cells"	"sensory cell"
"granular cells"	"granular cell"
"serous cells"	"secretory cell"
"mesangial cell"	"mesenchymal cell"
"renal tubular cell"	"epithelial cell"
"granular cell"	"granular cell"
"t-lymphocyte"	"t/nk cell"
"natural killer"	"t/nk cell"
"th1 cell"	"t/nk cell"
"th17 cell"	"t/nk cell"
"helper t cells"	"epithelial cell"
"tonsillar epithelial cells"	"myeloid cell"
"monocyte/macrophage"	"stromal cell"
"lymphoid stromal cell"	"other"
"other"	"other"
"glycine transporter 1"	"parenchymal cell"
"liver cells"	"parenchymal cell"
"steroidogenic factor 1-expressing cells"	"glial cell"
"oligodendrocyte progenitor cells"	"other"
"ribosomal proteins"	NA
"fc receptors"	"receptor"
"type ii pneumocyte"	"epithelial cell"
"gastric epithelial cell"	"epithelial cell"
"type i pneumocyte"	"epithelial cell"
"thymus epithelial cell"	"epithelial cell"
"na2"	"unknown"
"na3"	"unknown"
"na4"	"unknown"
"na5"	"unknown"
"na6"	"unknown"
"na7"	"unknown"
"na8"	"unknown"
"na9"	"unknown"
"na10"	"unknown"
"na11"	"unknown"
"na12"	"unknown"
"na14"	"unknown"
"na15"	"unknown"
"na16"	"unknown"
"na17"	"unknown"
"na18"	"unknown"
"na19"	"unknown"
"na20"	"unknown"
"0.125206196308136"	"unknown"
"oocyte"	"germ cell"
"fatty acid synthase"	"metabolic cell"
"major histocompatibility complex class ii"	"immune cell"
"antigen processing and presentation"	"immune cell"
"glial cell"	"glial cell"
"platelet-derived growth factor receptor alpha"	"stromal cell"
"thrombospondin 1"	"stromal cell"
"insulin-like growth factor binding protein 7"	"stromal cell"
"cardiac muscle cell"	"muscle cell"
"collagen"	"stromal cell"
"defensin"	"immune cell"
"cystatin"	"immune cell"
"protein kinase"	"immune cell"
"serine protease inhibitor"	"immune cell"
"heat shock protein"	"stress response cell"
"naec"	"unknown"
"myofibroblast"	"connective tissue cell"
"endothelial"	"endothelial cell"
"esophageal adenocarcinoma"	"malignant cell"
"basal cell carcinoma"	"malignant cell"
"esophageal squamous cell carcinoma"	"malignant cell"
"cardiac fibroblast"	"connective tissue cell"
"cardiac progenitor cell"	"stem cell"
"interstitial cells"	"connective tissue cell"
"mixed cells"	"mixed cell"
"stem cells"	"stem cell"
"prostatecells"	"epithelial cell"
"skeletal musclecells"	"muscle cell"
"epidermal keratinocyte"	"epithelial cell"
"adipocytes"	"adipocyte"
"muscle cells"	"muscle cell"
"skin cells"	"epithelial cell"
"cardiac muscle cells"	"muscle cell"
"connective tissue cells"	"connective tissue cell"
"t-cells"	"t/nk cell"
"cl:0000822"	"unknown cell type"
"cl:0000233"	"epithelial cell"
"alveolar type 2 cells"	"epithelial cell"
"bronchial epithelial cells"	"epithelial cell"
"prostatic epithelial cells"	"myeloid cell"
"monocytes/macrophages"	"epithelial cell"
"prostate-specific antigen (psa) producing cells"	"other"
"actin cytoskeleton cells"	"other"
"t-cell receptor (tcr) signaling pathway cells"	"stem cell"
"neural crest cells"	"malignant cell"
"b cell lymphoma"	"epithelial cell"
"cl:0000236"	"malignant cell"
"epithelial carcinoma"	"malignant cell"
"neuroendocrine carcinoma"	"malignant cell"
"mesenchymal carcinoma"	"malignant cell"
"inflammatory carcinoma"	"epithelial cell"
"intestinal epithelial cells"	"other"
"inflammatory"	"neuroendocrine cell"
"neuroendocrine"	"other"
"eyescell"	"neural cell"
"brainstemcell"	"neural cell"
"connectivetissue"	"connective tissue cell"
"skin"	"epithelial cell"
"liver"	"epithelial cell"
"fatcells"	"connective tissue cell"
"cl:0000763"	"unknown"
"colonic goblet cell"	"epithelial cell"
"mitotic cell"	"mitotic cell"
"lipid metabolism cells"	"metabolic cell"
"innate lymphoid cells"	"t/nk cell"
"t-helper 17 cells"	"t/nk cell"
"not applicable"	"unknown"
"mammaryepithelial cells"	"epithelial cell"
"myoepithelial cells"	"epithelial cell"
"musclecells"	"muscle cell"
"chloride channel cell"	"epithelial cell"
"insulinoma cell"	"malignant cell"
"b-lymphocyte"	"b cell"
"t-helper"	"t/nk cell"
"neoplastic"	"malignant cell"
"salivary gland acinar cell"	"epithelial cell"
"gastric cancer cells"	"malignant cell"
"thymus cell"	"immune cell"
"motor cortex"	"neural cell"
"pancreatic epithelial cells"	"epithelial cell"
"cell type name"	"unknown"
"progenitor"	"progenitor cell"
"cartilage matrix cell"	"connective tissue cell"
"thrombocyte"	"blood cell"
"cell type"	"unknown"
"tissue cell"	"tissue cell"
"kidneyocyte"	"epithelial cell"
"blastocyst"	"embryonic cell"
"bone marrowcell"	"hematopoietic cell"
"lung cells"	"epithelial cell"
"heart cells"	"muscle cell"
"mononuclear cell"	"immune cell"
"bex3"	"unknown"
"dcn"	"unknown"
"tuba1a"	"unknown"
"g0s2"	"unknown"
"protein kinase c"	"enzyme"
"proteinaceous"	"protein"
"tshz2"	"transcription factor"
"esophageal squamous epithelium"	"epithelial cell"
"heart cells"	"muscle cell"
"monoclonal b cell"	"B cell"
"prostaticcell"	"epithelial cell"
"muscle fiber"	"muscle cell"
"skcm"	"malignant cell"
"muscle"	"muscle cell"
"cardiac muscle"	"muscle cell"
"cartilage"	"connective tissue"
"bone"	"connective tissue"
"fat"	"connective tissue"
"blood"	"blood cell"
"pancreas"	"epithelial cell"
"thyroid"	"epithelial cell"
"heart"	"muscle cell"
"brain"	"nervous cell"
"tgfbr1"	"receptor"
"lung cancer"	"malignant cell"
"brain metastasis"	"malignant cell"
"white blood cell"	"white blood cell"
"bone marrow cell"	"bone marrow cell"
"adipose tissue cell"	"connective tissue cell"
"thrombocytes"	"platelet"
"blast"	"blast"
"fatcell"	"connective tissue cell"
"t淋巴ocyte"	"t/nk cell"
"mononuclear cell"	"white blood cell"
"mal,il7r,cd4,cd3e,lef1,fyb1,bcl11b,itk,cd3d,il6st"	"t/nk cell"
"prostatecell"	"epithelial cell"
"salivary glandcell"	"epithelial cell"
"salivary gland cells"	"epithelial cell"
"cytotoxic t cells"	"t/nk cell"
"natural killer (nk) cell"	"t/nk cell"
"erythroid precursor cell"	"erythroid cell"
"pyramidal neuron"	"neuronal cell"
"pancreatic cancer cell"	"malignant cell"
"megakaryocyte-erythroid progenitor (mep)"	"bone marrow cell"
"adrenal cortical cell"	"epithelial cell"
"muscle satellite cell"	"muscle cell"
"collecting duct cell"	"epithelial cell"
"retinal cell"	"neuronal cell"
"oligodendrocyte precursor cell"	"glial cell"
"neuronal precursor cell"	"neuronal cell"
"pancreatic beta cell"	"endocrine cell"
"hepatoblast"	"hepatic cell"
"pronephric mesenchyme"	"mesenchymal cell"
"epidermis"	"epithelial cell"
"decidual stromal cell"	"stromal cell"
"preganglionic parasympathetic neuron"	"neuronal cell"
"ciliated epithelial cell"	"epithelial cell"
"mesothelial cell"	"mesothelial cell"
"mucosal epithelial cell"	"epithelial cell"
"theca cell"	"stromal cell"
"fetal thymic epithelial cell"	"epithelial cell"
"fetal dendritic cell"	"immune cell"
"type ii pneumocytes"	"epithelial cell"
"proximal convoluted tubule cell"	"epithelial cell"
"distal convoluted tubule cell"	"epithelial cell"
"thick ascending limb cell"	"epithelial cell"
"glomerular endothelial cell"	"endothelial cell"
